date,promo_name,promo_level
2019/4/23,,
2019/4/27,,
2019/4/30,,
2019/5/2,,
2019/5/6,,
2019/5/11,,
2019/5/15,,
2019/5/19,520,A
2019/5/20,520,A
2019/5/24,,
2019/5/28,,
2019/6/1,,
2019/6/5,,
2019/6/9,,
2019/6/10,,
2019/6/14,,
2019/6/18,618,S+
2019/6/21,,
2018/11/10,,
2018/11/14,,
2018/11/18,,
2018/11/21,,
2018/11/25,羽绒季聚划算,B
2018/11/29,,
2019/1/3,,
2019/1/7,,
2019/1/10,,
2019/1/14,"年货节 300-10,500-30",S
2019/1/18,,
2019/1/21,,
2019/1/25,,
2019/1/29,,
2019/2/4,年三十,
2019/2/8,初四,
2019/2/11,初柒,
2019/2/15,,
2019/2/19,开新季,A
2019/2/20,开新季,A
2019/2/24,,
2019/2/28,,
2019/3/1,,
2019/3/5,,
2019/3/9,"女王节200-10,300-20,500-30",S
2019/3/12,,
2019/3/16,,
2019/3/23,,
2019/3/27,新风尚,A
2019/3/30,,
2019/4/2,,
2019/4/6,,
2019/4/13,出游季,A
2019/4/17,,
2019/4/22,亲子节,A
2019/4/26,,
2019/5/3,,
2019/5/7,,
2019/5/10,,
2019/5/14,,
2019/5/18,,
2019/5/21,520,A
2019/5/25,,
2019/5/29,,
2019/6/4,,
2019/6/8,,
2019/6/11,,
2019/6/15,,
2019/6/19,,
2019/6/20,,
2019/6/24,,
2018/10/9,秋冬运动尚新,B
2018/10/10,理想生活亲子趴,B
2018/10/14,,
2018/10/18,,
2018/10/21,,
2018/10/25,秋冬保暖品牌团,B
2018/10/29,,
2018/11/4,,
2018/11/8,,
2018/11/13,,
2018/11/17,,
2018/11/22,,
2018/11/26,羽绒季聚划算,B
2019/1/4,,
2019/1/8,,
2019/1/13,"年货节 300-10,500-30",S
2019/1/17,"年货节 300-10,500-30",S
2019/1/22,,
2019/1/26,,
2019/1/31,,
2019/2/3,,
2019/2/7,初三,
2019/2/12,健身器械品类日,B
2019/2/16,,
2019/2/23,,
2019/2/27,,
2019/3/2,,
2019/3/6,,
2019/3/11,,
2019/3/15,,
2019/3/19,跑步节,B
2019/3/20,跑步节,B
2019/3/24,,
2019/3/28,新风尚,A
2019/4/1,,
2019/4/5,,
2019/4/9,,
2019/4/10,,
2019/4/14,出游季,A
2019/4/18,,
2019/4/21,亲子节,A
2019/4/25,,
2019/4/29,,
2019/5/4,,
2019/5/8,,
2019/5/13,,
2019/5/17,,
2019/5/22,,
2019/5/26,,
2019/5/31,,
2019/6/3,,
2019/6/7,,
2019/6/12,,
2019/6/16,,
2019/6/23,,
